,Energy,Ambient Temperature,Relative Humidity,Solar Zenith Angle,tcc
2024-03-25 01:00:00+00:00,0.0,273.125,69.53416666666668,1.62308348230256,0.99832153
2024-03-25 02:00:00+00:00,0.0,271.9166666666667,73.34583333333333,1.8168150292739307,0.9993652
2024-03-25 03:00:00+00:00,0.0,270.05,74.75083333333333,1.998183827377008,0.9983899
2024-03-25 04:00:00+00:00,0.0,268.4583333333333,74.415,2.159714049649083,0.99822265
2024-03-25 05:00:00+00:00,0.0,268.03333333333336,73.31416666666667,2.287399428842902,0.9993469
2024-03-25 06:00:00+00:00,0.0,267.39166666666665,71.54583333333333,2.3628412857603567,0.9988672
2024-03-25 07:00:00+00:00,0.0,267.175,69.78750000000001,2.3700989465665665,1.0
2024-03-25 08:00:00+00:00,0.0,266.825,67.62416666666667,2.30731072672607,1.0
2024-03-25 09:00:00+00:00,0.0,266.73333333333335,65.31833333333334,2.1884828934861233,0.9998438
2024-03-25 10:00:00+00:00,0.0,266.5916666666667,63.36083333333334,2.03236319189523,0.99785036
2024-03-25 11:00:00+00:00,0.0,266.68333333333334,61.9775,1.8539323646996768,0.99945676
2024-03-25 12:00:00+00:00,0.0,266.7583333333333,59.76666666666667,1.6628479004271641,1.0
2024-03-25 13:00:00+00:00,128.25,266.8666666666666,55.40083333333334,1.4656838725935382,0.99347776
2024-03-25 14:00:00+00:00,593.3333333333334,267.06666666666666,49.77666666666667,1.2739012766202278,0.9070105
2024-03-25 15:00:00+00:00,939.5,267.68333333333334,45.51416666666666,1.088940009140129,0.9665637
2024-03-25 16:00:00+00:00,1448.8333333333333,268.46666666666664,42.165,0.921635655926039,0.9841077
2024-03-25 17:00:00+00:00,2418.1666666666665,269.84999999999997,39.305,0.7868962376720767,0.98756593
2024-03-25 18:00:00+00:00,2273.1666666666665,270.55,37.01583333333333,0.7056657054021741,1.0
2024-03-25 19:00:00+00:00,2132.5,271.3333333333333,35.233333333333334,0.6974626579178006,0.99955565
2024-03-25 20:00:00+00:00,1919.0833333333333,272.28333333333336,33.70166666666667,0.7645996564778491,0.99957764
2024-03-25 21:00:00+00:00,1396.25,273.3666666666667,32.83833333333333,0.8899288411814753,0.99257326
2024-03-25 22:00:00+00:00,565.3333333333334,273.875,33.53916666666667,1.0517063184309163,0.9367566
2024-03-25 23:00:00+00:00,859.6666666666666,273.98333333333335,36.62083333333333,1.2337441594139251,0.9558264
2024-03-26 00:00:00+00:00,128.25,273.5833333333333,43.46,1.4248286236864374,0.8715796
2024-03-26 01:00:00+00:00,-0.6666666666666666,271.3,50.93416666666667,1.6195637349777048,0.57590085
2024-03-26 02:00:00+00:00,0.0,269.825,54.5275,1.8130043937404097,0.5962134
2024-03-26 03:00:00+00:00,0.0,268.65833333333336,57.326666666666675,1.9939223151200551,0.67796385
2024-03-26 04:00:00+00:00,0.0,268.48333333333335,59.26833333333334,2.1548125833330656,0.79718626
2024-03-26 05:00:00+00:00,0.0,266.95,60.435833333333335,2.281654386721754,0.82369506
2024-03-26 06:00:00+00:00,0.0,265.8833333333333,60.99166666666667,2.3563253898862446,0.6309912
2024-03-26 07:00:00+00:00,0.0,265.55833333333334,60.77916666666667,2.3631903516107555,0.26630372
2024-03-26 08:00:00+00:00,0.0,265.0,59.48916666666667,2.3004603094119926,0.06137085
2024-03-26 09:00:00+00:00,0.0,263.7416666666667,59.708333333333336,2.1820106308433105,0.0535083
2024-03-26 10:00:00+00:00,0.0,262.925,61.18083333333334,2.02629817274455,0.27854615
2024-03-26 11:00:00+00:00,0.0,262.3833333333333,62.87166666666667,1.848158233757662,0.18447754
2024-03-26 12:00:00+00:00,0.0,262.05833333333334,64.38416666666667,1.6565356262991182,0.11318603
2024-03-26 13:00:00+00:00,743.4166666666666,262.6166666666667,62.095,1.4603169851436555,0.21190064
2024-03-26 14:00:00+00:00,2812.916666666667,265.6166666666667,55.02,1.2682580453721128,0.37655762
